graph_id,src,dst,etype
0,0,12,2
0,1,4,0
0,2,4,0
0,3,4,1
0,3,9,3
0,4,5,0
0,6,12,0
0,7,12,0
0,8,12,0
0,9,12,1
0,9,18,3
0,10,12,0
0,10,11,1
0,11,12,0
0,12,13,0
0,14,16,0
0,14,19,0
0,15,19,0
0,17,19,0
0,18,19,1
0,19,20,0
1,0,12,2
1,1,4,0
1,2,4,0
1,3,4,1
1,3,9,3
1,4,5,0
1,6,12,0
1,7,12,0
1,8,12,0
1,9,12,1
1,9,19,3
1,10,12,0
1,10,11,1
1,11,12,0
1,12,13,0
1,14,20,0
1,15,20,0
1,16,20,0
1,17,20,0
1,18,20,0
1,19,20,1
2,0,12,2
2,1,4,0
2,2,4,0
2,3,4,1
2,3,9,3
2,4,5,0
2,6,12,0
2,7,12,0
2,8,12,0
2,9,12,1
2,9,19,3
2,10,12,0
2,10,11,1
2,11,12,0
2,12,13,0
2,14,20,0
2,15,17,0
2,15,20,0
2,16,20,0
2,18,20,0
2,19,20,1
3,0,12,2
3,1,4,0
3,2,4,0
3,3,4,1
3,3,9,3
3,4,5,0
3,6,12,0
3,7,12,0
3,8,12,0
3,9,12,1
3,9,19,3
3,10,12,0
3,10,11,1
3,11,12,0
3,12,13,0
3,14,20,0
3,15,20,0
3,16,20,0
3,17,20,0
3,18,20,0
3,19,20,1
4,0,11,2
4,1,4,0
4,2,4,0
4,3,4,1
4,3,9,3
4,4,5,0
4,6,11,0
4,7,11,0
4,8,11,0
4,9,11,1
4,9,18,3
4,10,11,0
4,10,12,0
4,10,13,1
4,11,13,0
4,14,16,0
4,14,19,0
4,15,19,0
4,17,19,0
4,18,19,1
4,19,20,0
5,0,11,2
5,1,4,0
5,2,4,0
5,3,4,1
5,3,9,3
5,4,5,0
5,6,11,0
5,7,11,0
5,8,11,0
5,9,11,1
5,9,19,3
5,10,11,0
5,10,12,0
5,10,13,1
5,11,13,0
5,14,20,0
5,15,20,0
5,16,20,0
5,17,20,0
5,18,20,0
5,19,20,1
6,0,11,2
6,1,4,0
6,2,4,0
6,3,4,1
6,3,9,3
6,4,5,0
6,6,11,0
6,7,11,0
6,8,11,0
6,9,11,1
6,9,19,3
6,10,11,0
6,10,12,0
6,10,13,1
6,11,13,0
6,14,20,0
6,15,17,0
6,15,20,0
6,16,20,0
6,18,20,0
6,19,20,1
7,0,11,2
7,1,4,0
7,2,4,0
7,3,4,1
7,3,9,3
7,4,5,0
7,6,11,0
7,7,11,0
7,8,11,0
7,9,11,1
7,9,19,3
7,10,11,0
7,10,12,0
7,10,13,1
7,11,13,0
7,14,20,0
7,15,20,0
7,16,20,0
7,17,20,0
7,18,20,0
7,19,20,1
8,0,13,2
8,1,4,0
8,2,4,0
8,3,4,1
8,3,6,3
8,4,5,0
8,6,13,1
8,6,18,3
8,7,13,0
8,7,8,1
8,8,13,0
8,9,13,0
8,10,13,0
8,11,13,0
8,12,13,0
8,14,16,0
8,14,19,0
8,15,19,0
8,17,19,0
8,18,19,1
8,19,20,0
9,0,13,2
9,1,4,0
9,2,4,0
9,3,4,1
9,3,6,3
9,4,5,0
9,6,13,1
9,6,19,3
9,7,13,0
9,7,8,1
9,8,13,0
9,9,13,0
9,10,13,0
9,11,13,0
9,12,13,0
9,14,20,0
9,15,20,0
9,16,20,0
9,17,20,0
9,18,20,0
9,19,20,1
10,0,13,2
10,1,4,0
10,2,4,0
10,3,4,1
10,3,6,3
10,4,5,0
10,6,13,1
