graph_id,label,num_nodes
0,277,21
1,274,21
2,280,21
3,271,21
4,272,21
5,278,21
6,277,21
7,278,21
8,275,21
9,280,21
10,274,21
11,274,21
12,281,21
13,272,21
14,278,21
15,274,21
16,275,21
17,269,21
18,276,21
19,278,21
20,277,21
21,277,21
22,278,21
23,277,21
24,271,20
25,269,20
26,272,20
27,271,20
28,269,20
29,271,20
30,270,20
31,272,20
32,277,21
33,278,21
34,275,21
35,275,21
36,281,21
37,270,21
38,276,21
39,279,21
40,278,21
41,274,21
42,275,21
43,276,21
44,276,21
45,275,21
46,276,21
47,272,21
48,278,21
49,276,21
50,273,21
51,276,21
52,272,21
53,272,21
54,274,21
55,268,21
56,273,20
57,273,20
58,277,20
59,270,20
60,274,20
61,270,20
62,274,20
63,273,20
64,276,21
65,268,21
66,273,21
67,272,21
68,277,21
69,276,21
70,275,21
71,272,21
72,275,21
73,274,21
74,270,21
75,273,21
76,282,21
77,275,21
78,275,21
79,272,21
80,277,21
81,280,21
82,277,21
83,276,21
84,276,21
85,282,21
86,271,21
87,275,21
88,266,20
89,275,20
90,269,20
91,277,20
92,274,20
93,268,20
94,278,20
95,275,20
96,286,21
97,287,21
98,283,21
99,279,21
100,292,21
101,287,21
102,281,21
103,285,21
104,286,21
105,290,21
106,280,21
107,278,21
108,280,20
109,283,20
110,281,20
111,282,20
112,287,21
113,289,21
114,285,21
115,285,21
116,284,21
117,283,21
118,287,21
119,286,21
120,290,21
121,285,21
122,285,21
123,278,21
124,278,20
125,279,20
126,280,20
127,288,20
128,287,21
129,287,21
130,291,21
131,283,21
132,292,21
133,282,21
134,290,21
135,286,21
136,287,21
137,281,21
138,287,21
139,284,21
140,285,20
141,276,20
142,280,20
143,277,20
144,293,21
145,291,21
146,290,22
147,292,23
148,291,23
149,298,23
150,282,21
151,289,21
152,292,21
153,290,22
154,292,23
155,298,23
156,289,23
157,286,21
158,286,21
159,287,21
160,292,22
161,299,23
162,287,23
163,297,23
164,290,21
165,294,21
166,294,21
167,294,22
168,291,23
169,292,23
170,287,23
171,283,21
172,281,21
173,286,21
174,285,22
175,292,23
176,295,23
177,296,23
178,281,21
179,287,21
180,282,21
181,285,22
182,292,23
183,291,23
184,288,23
185,282,21
186,287,20
187,287,20
188,287,21
189,294,22
190,291,22
191,295,22
192,283,20
193,290,20
194,286,20
195,291,21
196,296,22
197,288,22
198,288,22
199,283,20
200,286,20
201,286,20
202,289,21
203,286,22
204,291,22
205,292,22
206,286,20
207,283,20
208,290,20
209,281,21
210,288,22
211,294,22
212,291,22
213,280,20
214,278,20
215,279,20
216,287,21
217,283,22
218,284,22
219,285,22
220,285,20
221,279,20
222,285,20
223,287,21
224,290,22
225,291,22
226,291,22
227,280,20
228,288,21
229,287,21
230,294,22
231,297,23
232,293,23
233,291,23
234,284,21
235,295,21
236,291,21
237,283,22
238,295,23
239,293,23
240,291,23
241,287,21
242,289,21
243,292,21
244,292,22
245,292,23
246,292,23
247,292,23
248,282,21
249,296,21
250,282,21
251,294,22
252,292,23
253,296,23
254,292,23
255,283,21
256,283,21
257,286,21
258,288,22
259,288,23
260,288,23
261,289,23
262,285,21
263,283,21
264,286,21
265,292,22
266,291,23
267,289,23
268,302,23
269,285,21
270,290,20
271,290,20
272,292,21
273,302,22
274,293,22
275,292,22
276,284,20
277,287,20
278,284,20
279,293,21
280,292,22
281,292,22
282,301,22
283,285,20
284,290,20
285,285,20
286,294,21
287,288,22
288,289,22
289,295,22
290,289,20
291,280,20
292,289,20
293,293,21
294,287,22
295,293,22
296,297,22
297,279,20
298,284,20
299,287,20
300,292,21
301,290,22
302,291,22
303,287,22
304,286,20
305,287,20
306,284,20
307,287,21
308,286,22
309,288,22
310,296,22
311,283,20
312,288,21
313,287,21
314,295,22
315,303,23
316,299,23
317,293,23
318,297,21
319,290,21
320,293,21
321,292,22
322,292,23
323,292,23
324,301,23
325,293,21
326,293,21
327,285,21
328,303,22
329,296,23
330,292,23
331,304,23
332,293,21
333,284,21
334,295,21
335,290,22
336,297,23
337,296,23
338,298,23
339,289,21
340,289,21
341,283,21
342,286,22
343,292,23
344,293,23
345,295,23
346,291,21
347,283,21
348,283,21
349,299,22
350,295,23
351,294,23
352,293,23
353,286,21
354,282,20
355,286,20
356,297,21
357,295,22
358,298,22
359,295,22
360,287,20
361,290,20
362,286,20
363,292,21
364,294,22
365,293,22
366,293,22
367,289,20
368,284,20
369,277,20
370,290,21
371,295,22
372,291,22
373,294,22
374,283,20
375,294,20
376,286,20
377,284,21
378,298,22
379,294,22
380,294,22
381,284,20
382,288,20
383,290,20
384,294,21
385,296,22
386,289,22
387,289,22
388,279,20
389,281,20
390,282,20
391,284,21
392,292,22
393,292,22
394,287,22
395,288,20
396,299,21
397,297,21
398,295,22
399,293,23
400,292,23
401,298,23
402,290,21
403,289,21
404,286,21
405,290,22
406,297,23
407,294,23
408,296,23
409,288,21
410,295,21
411,284,21
412,295,22
413,296,23
414,296,23
415,294,23
416,290,21
417,294,21
418,293,21
419,295,22
420,288,23
421,293,23
422,294,23
423,290,21
424,288,21
425,283,21
426,292,22
427,291,23
428,291,23
429,295,23
430,288,21
431,287,21
432,286,21
433,293,22
434,298,23
435,292,23
436,294,23
437,286,21
438,286,20
439,284,20
440,290,21
441,293,22
442,290,22
443,290,22
444,299,20
445,283,20
446,286,20
447,296,21
448,298,22
449,287,22
450,295,22
451,279,20
452,288,20
453,284,20
454,293,21
455,297,22
456,297,22
457,295,22
458,286,20
459,289,20
460,286,20
461,291,21
462,291,22
463,296,22
464,291,22
465,290,20
466,282,20
467,292,20
468,293,21
469,289,22
470,296,22
471,295,22
472,285,20
473,282,20
474,280,20
475,285,21
476,284,22
477,288,22
478,291,22
479,289,20
480,294,21
481,291,21
482,299,22
483,302,23
484,288,23
485,291,23
486,288,21
487,289,21
488,292,21
489,294,22
490,294,23
491,294,23
492,302,23
493,291,21
494,296,21
495,293,21
496,291,22
497,299,23
498,298,23
499,298,23
500,293,21
501,296,21
502,290,21
503,291,22
504,295,23
505,299,23
506,295,23
507,292,21
508,281,21
509,288,21
510,288,22
511,292,23
512,295,23
513,289,23
514,286,21
515,290,21
516,290,21
517,293,22
518,298,23
519,291,23
520,292,23
521,283,21
522,278,20
523,279,20
524,292,21
525,283,22
526,297,22
527,289,22
528,280,20
529,287,20
530,283,20
531,287,21
532,294,22
533,289,22
534,292,22
535,284,20
536,283,20
537,283,20
538,281,21
539,292,22
540,292,22
541,290,22
542,284,20
543,283,20
544,279,20
545,278,20
546,287,20
547,284,20
548,282,20
549,286,20
550,284,20
551,278,20
552,289,20
553,287,20
554,277,20
555,285,20
556,283,20
557,287,20
558,282,20
559,277,20
560,287,20
561,284,20
562,281,20
563,281,20
564,291,20
565,283,20
566,291,20
567,287,20
568,286,20
569,286,20
570,283,20
571,287,20
572,292,20
573,287,20
574,291,20
575,288,20
576,292,20
577,284,20
578,284,20
579,296,20
580,286,20
581,296,20
582,280,20
583,282,20
584,282,20
585,287,20
586,287,20
587,290,20
588,293,20
589,283,20
590,284,20
591,287,20
592,278,20
593,280,20
594,279,20
595,289,20
596,285,20
597,274,20
598,279,20
599,287,20
600,281,20
601,280,20
602,283,20
603,279,20
604,277,20
605,286,20
606,289,21
607,285,21
608,298,21
609,290,21
610,294,21
611,285,21
612,283,21
613,288,21
614,292,21
615,284,21
616,293,21
617,287,21
618,286,21
619,292,21
620,282,21
621,292,21
622,286,21
623,289,21
624,290,21
625,291,21
626,293,21
627,294,21
628,290,21
629,290,21
630,287,21
631,289,21
632,292,21
633,287,21
634,288,21
635,291,21
636,279,21
637,279,21
638,292,21
639,287,21
640,283,21
641,292,21
642,284,21
643,289,21
644,281,21
645,281,21
646,281,21
647,283,21
648,288,20
649,290,20
650,286,20
651,281,20
652,288,20
653,287,20
654,289,20
655,287,20
656,286,20
657,284,20
658,281,20
659,286,20
660,296,20
661,289,20
662,289,20
663,281,20
664,277,20
665,293,20
666,284,20
667,284,20
668,287,20
669,291,20
670,291,20
671,287,20
672,279,20
673,286,20
674,289,20
675,283,20
676,276,20
677,282,20
678,282,20
679,280,20
680,283,20
681,279,20
682,279,20
683,279,20
684,278,20
685,283,20
686,282,20
687,285,20
688,279,20
689,277,20
690,293,20
691,286,20
692,291,20
693,284,20
694,290,20
695,286,20
696,284,20
697,289,20
698,285,20
699,287,20
700,286,20
701,282,20
702,287,20
703,285,20
704,294,20
705,286,20
706,285,20
707,285,20
708,291,20
709,283,20
710,288,20
711,283,20
712,284,20
713,289,20
714,286,20
715,291,20
716,286,20
717,284,20
718,288,20
719,284,20
720,284,20
721,284,20
722,284,20
723,285,20
724,292,20
725,292,20
726,284,20
727,281,20
728,284,20
729,282,20
730,281,20
731,281,20
732,290,21
733,291,21
734,286,21
735,289,21
736,287,21
737,287,21
738,288,21
739,289,21
740,295,21
741,296,21
742,291,21
743,290,21
744,295,21
745,290,21
746,294,21
747,294,21
748,287,21
749,288,21
750,296,21
751,290,21
752,287,21
753,287,21
754,289,21
755,285,21
756,290,21
757,295,21
758,289,21
759,292,21
760,280,21
761,288,21
762,278,21
763,286,21
764,285,21
765,286,21
766,287,21
767,283,21
768,287,21
769,287,21
770,286,21
771,283,21
772,285,21
773,286,21
774,285,20
775,284,20
776,290,20
777,285,20
778,286,20
779,284,20
780,288,20
781,289,20
782,285,20
783,281,20
784,280,20
785,279,20
786,285,20
787,289,20
788,282,20
789,284,20
790,281,20
791,282,20
792,277,20
793,289,20
794,290,20
795,284,20
796,286,20
797,285,20
798,285,20
799,283,20
800,286,20
801,287,20
802,280,20
803,281,20
804,281,20
805,280,20
806,275,20
807,280,20
808,285,20
809,281,20
810,279,20
811,274,20
812,281,20
813,275,20
814,280,20
815,282,20
816,289,21
817,288,21
818,284,21
819,291,21
820,284,21
821,288,21
822,291,21
823,284,21
824,286,21
825,283,21
826,283,21
827,283,21
828,288,21
829,290,21
830,282,21
831,286,21
832,294,21
833,284,21
834,285,21
835,282,21
836,284,21
837,284,21
838,283,21
839,280,21
840,284,21
841,293,21
842,285,21
843,283,21
844,285,21
845,287,21
846,283,21
847,282,21
848,285,21
849,282,21
850,285,21
851,282,21
852,280,21
853,278,21
854,283,21
855,276,21
856,288,21
857,275,21
858,284,20
859,284,20
860,287,20
861,288,20
862,285,20
863,287,20
864,287,20
865,289,20
866,286,20
867,288,20
868,288,20
869,290,20
870,281,20
871,289,20
872,286,20
873,292,20
874,283,20
875,292,20
876,285,20
877,283,20
878,290,20
879,288,20
880,290,20
881,284,20
882,284,20
883,283,20
884,291,20
885,297,20
886,283,20
887,290,20
888,284,20
889,285,20
890,285,20
891,290,20
892,284,20
893,284,20
894,288,20
895,285,20
896,292,20
897,287,20
898,284,20
899,278,20
900,289,21
901,293,21
902,287,21
903,296,21
904,297,21
905,283,21
906,291,21
907,295,21
908,294,21
909,294,21
910,291,21
911,289,21
912,291,21
913,293,21
914,284,21
915,293,21
916,292,21
917,282,21
918,293,21
919,293,21
920,288,21
921,292,21
922,285,21
923,292,21
924,291,21
925,294,21
926,289,21
927,295,21
928,281,21
929,287,21
930,288,21
931,293,21
932,292,21
933,282,21
934,284,21
935,280,21
936,275,21
937,283,21
938,285,21
939,285,21
940,283,21
941,285,21
942,227,19
943,234,20
944,233,19
945,227,20
946,236,19
947,235,20
948,235,19
949,230,20
950,228,19
951,230,20
952,237,19
953,245,20
954,232,19
955,230,20
956,231,19
957,232,20
958,234,19
959,234,20
960,237,19
961,244,20
962,231,19
963,231,20
964,237,19
965,230,20
966,221,18
967,228,19
968,225,18
969,224,19
970,228,18
971,233,19
972,229,18
973,229,19
974,231,18
975,228,19
976,232,18
977,228,19
978,218,18
979,225,19
980,230,18
981,221,19
982,231,18
983,229,19
984,220,18
985,232,19
986,230,18
987,228,19
988,230,18
989,230,19
990,226,18
991,222,19
992,232,18
993,231,19
994,237,18
995,232,19
996,229,18
997,227,19
998,230,18
999,228,19
